irn,TAXON,ClaCurrentlyAccepted,currentName_irn,ClaKingdom,ClaPhylum,ClaSubphylum,ClaClass,ClaSubclass,ClaSuperorder,ClaOrder,ClaSuborder,ClaInfraorder,ClaSuperfamily,ClaFamily,ClaSubfamily,ClaTribe,ClaGenus,ClaSubgenus,ClaSpecies,ClaSubspecies,AutAuthorString,Ide2Qaulifier_tab,Ide2QualifierRank_tab
203363,Hamulus sp.,Yes,,Animalia,Annelida,,Polychaeta,,,Sabellida,,,,Serpulidae,,,Hamulus,,,,,sp.,genus
203559,Rotularia sp.,Yes,,Animalia,Annelida,,Polychaeta,,,Sabellida,,,,Serpulidae,,,Rotularia,,,,,sp.,genus
203102,Serpulidae indet.,Yes,,Animalia,Annelida,,Polychaeta,,,Sabellida,,,,Serpulidae,,,,,,,,indet.,family
202958,Sabellida indet.,Yes,,Animalia,Annelida,,Polychaeta,,,Sabellida,,,,,,,,,,,,indet.,order
202904,Polychaeta indet.,Yes,,Animalia,Annelida,,Polychaeta,,,,,,,,,,,,,,,indet.,class
202886,Annelida indet.,Yes,,Animalia,Annelida,,,,,,,,,,,,,,,,,indet.,phylum
202376,Argyroneta antiqua,No,202296,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Argyronetidae,,,Argyroneta,,antiqua,,"(Von Heyden, 1859)",,species
120463,Argyroneta sp.,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Argyronetidae,,,Argyroneta,,,,,sp.,genus
118497,Argyronetidae indet.,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Argyronetidae,,,,,,,,indet.,family
207244,Argenna fossilis,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Dictynidae,,,Argenna,,fossilis,,"Petrunkevitch in Palmer, 1957",,species
207243,Argenna sp.,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Dictynidae,,,Argenna,,,,,sp.,genus
207242,Dictynidae indet.,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Dictynidae,,,,,,,,indet.,family
202296,Elvina antiqua,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Incertae sedis,,,Elvina,,antiqua,,"(Heyden, 1859)",,species
201958,Elvina sp.,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Incertae sedis,,,Elvina,,,,,sp.,genus
201904,Incertae sedis indet.,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Incertae sedis,,,,,,,,indet.,family
207249,Lycosidae indet.,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Lycosidae,,,,,,,,indet.,family
207247,Dendryphantes sp.,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Salticidae,,,Dendryphantes,,,,,sp.,genus
207498,Salticus seymouri,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Salticidae,,,Salticus,,seymouri,,"Pierce, 1950",,species
207497,Salticus sp.,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Salticidae,,,Salticus,,,,,sp.,genus
207245,Salticidae indet.,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,Salticidae,,,,,,,,indet.,family
201894,Araneae indet.,Yes,,Animalia,Arthropoda,,Arachnida,,,Araneae,,,,,,,,,,,,indet.,order
207253,Protoarrenurus convergens,Yes,,Animalia,Arthropoda,,Arachnida,Acari,,,,,Arrenuroidea,,,,Protoarrenurus,,convergens,,"Cook in Palmer, 1957",,species
207252,Protoarrenurus sp.,Yes,,Animalia,Arthropoda,,Arachnida,Acari,,,,,Arrenuroidea,,,,Protoarrenurus,,,,,sp.,genus
118271,Arachnida indet.,Yes,,Animalia,Arthropoda,,Arachnida,,,,,,,,,,,,,,,indet.,class
207251,Arrenuroidea indet.,Yes,,Animalia,Arthropoda,,Arachnida,Acari,,,,,Arrenuroidea,,,,,,,,,indet.,superfamily
207250,Acari indet.,Yes,,Animalia,Arthropoda,,Arachnida,Acari,,,,,,,,,,,,,,indet.,subclass
207257,Archaebranchinecta barstowensis,Yes,,Animalia,Arthropoda,Crustacea,Branchiopoda,,,Anostraca,,,,Branchinectidae,,,Archaebranchinecta,,barstowensis,,"(Belk & Schram, 2001)",,species
207256,Archaebranchinecta sp.,Yes,,Animalia,Arthropoda,Crustacea,Branchiopoda,,,Anostraca,,,,Branchinectidae,,,Archaebranchinecta,,,,,sp.,genus
207222,Branchinecta barstowensis,No,207257,Animalia,Arthropoda,Crustacea,Branchiopoda,,,Anostraca,,,,Branchinectidae,,,Branchinecta,,barstowensis,,"Belk & Schram, 2001",,species
207221,Branchinecta sp.,Yes,,Animalia,Arthropoda,Crustacea,Branchiopoda,,,Anostraca,,,,Branchinectidae,,,Branchinecta,,,,,sp.,genus
207220,Branchinectidae indet.,Yes,,Animalia,Arthropoda,Crustacea,Branchiopoda,,,Anostraca,,,,Branchinectidae,,,,,,,,indet.,family
207219,Anostraca indet.,Yes,,Animalia,Arthropoda,Crustacea,Branchiopoda,,,Anostraca,,,,,,,,,,,,indet.,order
201988,Daphnia (Ctenodaphnia) sp.,Yes,,Animalia,Arthropoda,Crustacea,Branchiopoda,,,Cladocera,,,,Daphniidae,,,Daphnia,Ctenodaphnia,,,,sp.,subgenus
202377,Daphnia fossilis,No,201988,Animalia,Arthropoda,Crustacea,Branchiopoda,,,Cladocera,,,,Daphniidae,,,Daphnia,,fossilis,,"von Heyden, 1862",,species
201944,Daphnia sp.,Yes,,Animalia,Arthropoda,Crustacea,Branchiopoda,,,Cladocera,,,,Daphniidae,,,Daphnia,,,,,sp.,genus
118503,Daphniidae indet.,Yes,,Animalia,Arthropoda,Crustacea,Branchiopoda,,,Cladocera,,,,Daphniidae,,,,,,,,indet.,family
118352,Cladocera indet.,Yes,,Animalia,Arthropoda,Crustacea,Branchiopoda,,,Cladocera,,,,,,,,,,,,indet.,order
118272,Branchiopoda indet.,Yes,,Animalia,Arthropoda,Crustacea,Branchiopoda,,,,,,,,,,,,,,,indet.,class
207263,Ectognatha indet.,No,201893,Animalia,Arthropoda,Hexapoda,Ectognatha,,,,,,,,,,,,,,,indet.,class
207270,Entomobrya atrocincta,Yes,,Animalia,Arthropoda,Hexapoda,Entognatha,,,Collembola,,,,Entomobryidae,Entomobryinae,,Entomobrya,,atrocincta,,"Schott, 1896",,species
207269,Entomobrya sp.,Yes,,Animalia,Arthropoda,Hexapoda,Entognatha,,,Collembola,,,,Entomobryidae,,,Entomobrya,,,,,sp.,genus
207268,Entomobryidae indet.,Yes,,Animalia,Arthropoda,Hexapoda,Entognatha,,,Collembola,,,,Entomobryidae,,,,,,,,indet.,family
207271,Entomobryinae indet.,Yes,,Animalia,Arthropoda,Hexapoda,Entognatha,,,Collembola,,,,Entomobryidae,Entomobryinae,,,,,,,indet.,subfamily
207273,Paleosminthurus sp.,No,,Animalia,Arthropoda,Hexapoda,Entognatha,,,Collembola,,,,Sminthuridae,,,Paleosminthurus,,,,,sp.,genus
207272,Sminthuridae indet.,Yes,,Animalia,Arthropoda,Hexapoda,Entognatha,,,Collembola,,,,Sminthuridae,,,,,,,,indet.,family
207267,Collembola indet.,Yes,,Animalia,Arthropoda,Hexapoda,Entognatha,,,Collembola,,,,,,,,,,,,indet.,order
207265,Diplura indet.,Yes,,Animalia,Arthropoda,Hexapoda,Entognatha,,,Diplura,,,,,,,,,,,,indet.,order
207266,Protura indet.,Yes,,Animalia,Arthropoda,Hexapoda,Entognatha,,,Protura,,,,,,,,,,,,indet.,order
207264,Entognatha indet.,Yes,,Animalia,Arthropoda,Hexapoda,Entognatha,,,,,,,,,,,,,,,indet.,class
207261,Apocyclops californicus,Yes,,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,,Cyclopoida,,,,Cyclopidae,,,Apocyclops,,californicus,,"Holynska, Leggitt, & Kotov, 2016",,species
207260,Apocyclops sp.,Yes,,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,,Cyclopoida,,,,Cyclopidae,,,Apocyclops,,,,,sp.,genus
207259,Cyclopidae indet.,Yes,,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,,Cyclopoida,,,,Cyclopidae,,,,,,,,indet.,family
207258,Cyclopoida indet.,Yes,,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,,Cyclopoida,,,,,,,,,,,,indet.,order
207240,Cletocamptus sp.,Yes,,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Podoplea,Harpacticoida,,,,Canthocamptidae,,,Cletocamptus,,,,,sp.,genus
207239,Canthocamptidae indet.,Yes,,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Podoplea,Harpacticoida,,,,Canthocamptidae,,,,,,,,indet.,family
207238,Harpacticoida indet.,Yes,,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Podoplea,Harpacticoida,,,,,,,,,,,,indet.,order
207237,Podoplea indet.,Yes,,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,Podoplea,,,,,,,,,,,,,indet.,superorder
207233,Hexanauplia indet.,Yes,,Animalia,Arthropoda,Crustacea,Hexanauplia,,,,,,,,,,,,,,,indet.,class
207234,Copepoda indet.,Yes,,Animalia,Arthropoda,Crustacea,Hexanauplia,Copepoda,,,,,,,,,,,,,,indet.,subclass
207535,Reticulitermes tibialis dubitans,No,207536,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Rhinotermitidae,,,Reticulitermes,,tibialis,dubitans,"Pierce, 1958",,subspecies
202037,Blaberites rhenana,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,,,Blaberidae,,,Blaberites,,rhenana,,"Statz, 1939",,species
119356,Blaberites sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,,,Blaberidae,,,Blaberites,,,,,sp.,genus
201906,Blaberidae indet.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,,,Blaberidae,,,,,,,,indet.,family
122944,Ectobius glabellus,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,,,Ectobiidae,,,Ectobius,,glabellus,,,,species
119327,Ectobius sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,,,Ectobiidae,,,Ectobius,,,,,sp.,genus
202028,Nyctibora elongata,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,,,Ectobiidae,,,Nyctibora,,elongata,,"Statz, 1939",,species
119328,Nyctibora sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,,,Ectobiidae,,,Nyctibora,,,,,sp.,genus
201905,Ectobiidae indet.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,,,Ectobiidae,,,,,,,,indet.,family
202398,Calotermes rhenanus,No,202103,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Hodotermitidae,,,Calotermes,,rhenanus,,"(Hagen, 1863)",,species
202396,Calotermes rottensis,No,202104,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Hodotermitidae,,,Calotermes,,rottensis,,"Statz, 1930",,species
202397,Calotermes sophiae,No,202104,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Hodotermitidae,,,Calotermes,,sophiae,,"Statz, 1930",,species
202395,Calotermes sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Hodotermitidae,,,Calotermes,,,,,sp.,genus
202104,Ulmeriella bauckhorni,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Hodotermitidae,,,Ulmeriella,,bauckhorni,,"(Meunier, 1920)",,species
202498,Ulmeriella rottensis,No,202104,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Hodotermitidae,,,Ulmeriella,,rottensis,,"Statz, 1930",,species
119438,Ulmeriella sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Hodotermitidae,,,Ulmeriella,,,,,sp.,genus
118571,Hodotermitidae indet.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Hodotermitidae,,,,,,,,indet.,family
207477,Cryptotermes ryshkoffi,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Kalotermitidae,,,Cryptotermes,,ryshkoffi,,"Pierce, 1958",,species
207276,Cryptotermes sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Kalotermitidae,,,Cryptotermes,,,,,sp.,genus
202102,Eotermes grandaeva,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Kalotermitidae,,,Eotermes,,grandaeva,,"Statz, 1939",,species
119436,Eotermes sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Kalotermitidae,,,Eotermes,,,,,sp.,genus
202103,Kalotermes rhenanus,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Kalotermitidae,,,Kalotermes,,rhenanus,,"(Hagen, 1863)",,species
119437,Kalotermes sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Kalotermitidae,,,Kalotermes,,,,,sp.,genus
118570,Kalotermitidae indet.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Kalotermitidae,,,,,,,,indet.,family
207552,Parastylotermes calico,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Rhinotermitidae,,,Parastylotermes,,calico,,"Pierce, 1963",,species
207285,Parastylotermes sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Rhinotermitidae,,,Parastylotermes,,,,,sp.,genus
202101,Reticulitermes holmgreni,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Rhinotermitidae,,,Reticulitermes,,holmgreni,,"(Statz, 1939)",,species
207536,Reticulitermes laurae,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Rhinotermitidae,,,Reticulitermes,,laurae,,"Pierce, 1958",,species
207288,Reticulitermes tibialis,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Rhinotermitidae,,,Reticulitermes,,tibialis,,"Banks, 1920",,species
119434,Reticulitermes sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Rhinotermitidae,,,Reticulitermes,,,,,sp.,genus
123006,Termes adustus,No,202101,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Rhinotermitidae,,,Termes,,adustus,,"Statz, 1939",,species
202399,Termes aethiops,No,202101,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Rhinotermitidae,,,Termes,,aethiops,,"Statz, 1939",,species
202400,Termes atomus,No,202101,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Rhinotermitidae,,,Termes,,atomus,,"Statz, 1939",,species
202401,Termes blandus,No,202101,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Rhinotermitidae,,,Termes,,blandus,,"Statz, 1939",,species
123008,Termes concinnus,No,202101,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Rhinotermitidae,,,Termes,,concinnus,,"Statz, 1939",,species
123007,Termes contractulus,No,202101,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Rhinotermitidae,,,Termes,,contractulus,,"Statz, 1939",,species
202402,Termes holmgreni,No,202101,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Rhinotermitidae,,,Termes,,holmgreni,,"(Statz, 1939)",,species
119431,Termes sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Rhinotermitidae,,,Termes,,,,,sp.,genus
118569,Rhinotermitidae indet.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Rhinotermitidae,,,,,,,,indet.,family
207515,Gnathamitermes magnoculus,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Termitidae,,,Gnathamitermes,,magnoculus,,"Pierce, 1958",,species
207514,Gnathamitermes sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Termitidae,,,Gnathamitermes,,,,,sp.,genus
207283,Gnathotermes sp.,No,206996,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Termitidae,,,Gnathotermes,,,,,sp.,genus
207282,Termitidae indet.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,Termitidae,,,,,,,,indet.,family
206996,Isoptera indet.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,Isoptera,,,,,,,,,,indet.,infraorder
201895,Blattodea indet.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Blattodea,,,,,,,,,,,,indet.,order
201995,Mesosa (Aplocnemia) sophiae,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Cerambycidae,,,Mesosa,Aplocnemia,sophiae,,"(Statz, 1938)",,species
201987,Mesosa (Aplocnemia) sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Cerambycidae,,,Mesosa,Aplocnemia,,,,sp.,subgenus
201994,Berosus (Berosus) morticinus,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Hydrophilidae,,,Berosus,Berosus,morticinus,,"(Heyden & Heyden, 1866)",,species
201989,Berosus (Berosus) sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Hydrophilidae,,,Berosus,Berosus,,,,sp.,subgenus
207487,Canthon (Boreocanthon) praticola,No,207489,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Scarabaeidae,,,Canthon,Boreocanthon,praticola,,LeConte,,species
207452,Canthon (Boreocanthon) simplex,No,207489,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Scarabaeidae,,,Canthon,Boreocanthon,simplex,,LeConte,,species
207451,Canthon (Boreocanthon) sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Scarabaeidae,,,Canthon,Boreocanthon,,,,sp.,subgenus
207506,Donacia (Donacia) cordovae,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Chrysomelidae,,,Donacia,Donacia,cordovae,,"Pierce, 1950",,species
207505,Donacia (Donacia) draycoti,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Chrysomelidae,,,Donacia,Donacia,draycoti,,"Pierce, 1950",,species
207507,Donacia (Donacia) lynni,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Chrysomelidae,,,Donacia,Donacia,lynni,,"Pierce, 1950",,species
207504,Donacia (Donacia) sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Chrysomelidae,,,Donacia,Donacia,,,,sp.,subgenus
207544,Silpha (Thanatophilus) lapponica,No,207542,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Silphidae,,,Silpha,Thanatophilus,lapponica,,,,species
207543,Silpha (Thanatophilus) sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Silphidae,,,Silpha,Thanatophilus,,,,sp.,subgenus
207558,Nicrophorus investigator alpha,No,207556,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Silphidae,,,Nicrophorus,,investigator,alpha,"Pierce, 1949",,subspecies
207463,Coniontis tristis alpha,No,207459,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Tenebrionidae,,,Coniontis,,tristis,alpha,"Pierce, 1954",,subspecies
207488,Canthon simplex antiquus,No,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Scarabaeidae,,,Canthon,,simplex,antiquus,"Pierce, 1946",,subspecies
207456,Canthon simplex antiquus,No,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Scarabaeidae,,,Canthon,,simplex,antiquus,"Pierce, 1946",,subspecies
207471,Coniontis tristis asphalti,No,207459,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Tenebrionidae,,,Coniontis,,tristis,asphalti,"Pierce, 1954",,subspecies
207464,Coniontis abdominalis caseyi,No,207459,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Tenebrionidae,,,Coniontis,,abdominalis,caseyi,"Pierce, 1954",,subspecies
206926,Elaphrus ruscarius foveatus,No,206924,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,Adephaga,,,Carabidae,,,Elaphrus,,ruscarius,foveatus,"Pierce, 1948",,subspecies
207465,Coniontis abdominalis fragmans,No,207459,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Tenebrionidae,,,Coniontis,,abdominalis,fragmans,"Pierce, 1954",,subspecies
207469,Coniontis pectoralis interrupta,No,207459,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Tenebrionidae,,,Coniontis,,pectoralis,interrupta,"Pierce, 1954",,subspecies
207560,Nicrophorus guttulus labreae,No,206939,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Silphidae,,,Nicrophorus,,guttulus,labreae,"Pierce, 1949",,subspecies
207466,Coniontis abdominalis labreae,No,207459,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Tenebrionidae,,,Coniontis,,abdominalis,labreae,"Pierce, 1954",,subspecies
207472,Coniontis tristis latigula,No,207459,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Tenebrionidae,,,Coniontis,,tristis,latigula,"Pierce, 1954",,subspecies
207494,Elaphrus clairvillei lynni,No,207492,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,Adephaga,,,Carabidae,,,Elaphrus,,clairvillei,lynni,"Pierce, 1948",,subspecies
207468,Coniontis pectoralis paraelliptica,No,207459,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Tenebrionidae,,,Coniontis,,pectoralis,paraelliptica,"Pierce, 1954",,subspecies
207561,Nicrophorus guttulus punctostriatus,No,206938,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Silphidae,,,Nicrophorus,,guttulus,punctostriatus,"Pierce, 1949",,subspecies
207491,Canthon praticola vetustus,No,207489,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Scarabaeidae,,,Canthon,,praticola,vetustus,"Pierce, 1946",,subspecies
206945,Acmaeodera nigrovittata,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Buprestidae,,,Acmaeodera,,nigrovittata,,Van Dyke,,species
206944,Acmaeodera sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Buprestidae,,,Acmaeodera,,,,,sp.,genus
206943,Buprestidae indet.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Buprestidae,,,,,,,,indet.,family
207153,Cantharidae indet.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,Polyphaga,,,Cantharidae,,,,,,,,indet.,family
206921,Cicindela haemorrhagica,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,Adephaga,,,Carabidae,Cicindelinae,,Cicindela,,haemorrhagica,,LeConte,,species
206920,Cicindela sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,Adephaga,,,Carabidae,Cicindelinae,,Cicindela,,,,,sp.,genus
207492,Elaphrus clairvillei,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,Adephaga,,,Carabidae,,,Elaphrus,,clairvillei,,"Kirby, 1837",,species
206924,Elaphrus finitimus,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,Adephaga,,,Carabidae,,,Elaphrus,,finitimus,,Casey,,species
206925,Elaphrus ruscarius,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,Adephaga,,,Carabidae,,,Elaphrus,,ruscarius,,,,species
206922,Elaphrus sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,Adephaga,,,Carabidae,,,Elaphrus,,,,,sp.,genus
207502,Notiophilus vancouveri,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,Adephaga,,,Carabidae,,,Notiophilus,,vancouveri,,"Pierce, 1950",,species
207500,Notiophilus sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,Adephaga,,,Carabidae,,,Notiophilus,,,,,sp.,genus
206919,Cicindelinae indet.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,Adephaga,,,Carabidae,Cicindelinae,,,,,,,indet.,subfamily
206918,Carabidae indet.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,Adephaga,,,Carabidae,,,,,,,,indet.,family
202039,Anaesthetis magnificus,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Cerambycidae,,,Anaesthetis,,magnificus,,"Statz, 1938",,species
119363,Anaesthetis sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Cerambycidae,,,Anaesthetis,,,,,sp.,genus
202393,Haplocnemia sophiae,No,201995,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Cerambycidae,,,Haplocnemia,,sophiae,,"(Statz, 1938)",,species
202391,Haplocnemia sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Cerambycidae,,,Haplocnemia,,,,,sp.,genus
202040,Leptura longipennis,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Cerambycidae,,,Leptura,,longipennis,,"Statz, 1938",,species
119365,Leptura sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Cerambycidae,,,Leptura,,,,,sp.,genus
202270,Macroleptura petrorum,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Cerambycidae,,,Macroleptura,,petrorum,,"(Statz, 1938)",,species
201938,Macroleptura sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Cerambycidae,,,Macroleptura,,,,,sp.,genus
201939,Mesosa sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Cerambycidae,,,Mesosa,,,,,sp.,genus
202405,Saperda petrorum,No,202270,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Cerambycidae,,,Saperda,,petrorum,,"(Statz, 1938)",,species
202403,Saperda sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Cerambycidae,,,Saperda,,,,,sp.,genus
202041,Tetrops rottensis,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Cerambycidae,,,Tetrops,,rottensis,,"Statz, 1938",,species
119367,Tetrops sp.,Yes,,Animalia,Arthropoda,Hexapoda,Insecta,,,Coleoptera,,,,Cerambycidae,,,Tetrops,,,,,sp.,genus
