TaxTaxNo,EMUIRN,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SUBGENUS,SPECIES,TAXON,AITHOR,AITHOR1
1,,Uncurated,,,,,ENTERER,,ERROR,,,
13114,,Animalia,Mollusca,Gastropoda,,Acmaeidae,"""Acmaea""",,martinezensis,"""Acmaea"" martinezensis","Dickerson, 1914",
13196,,Animalia,Mollusca,Gastropoda,,Acteonidae,"""Acteon""",,venturensis,"""Acteon"" venturensis","Nelson, 1925",
13088,,Animalia,Mollusca,Gastropoda,,Tornidae,"""Adeorbis""",,woodfordi,"""Adeorbis"" woodfordi","Nelson, 1925",
11827,,Animalia,Mollusca,Gastropoda,Littorinimorpha,Aporrhaidae,"""Alaria""",,fairbanksi,"""Alaria"" fairbanksi","Davis, 1913",
12879,,Animalia,Mollusca,Bivalvia,Venerida,Cardiidae,"""Americardia""",,"""myra""","""Americardia"" ""myra""",,
11828,,Animalia,Mollusca,Gastropoda,Littorinimorpha,Aporrhaidae,"""Anchura""",,carinifera,"""Anchura"" carinifera","Gabb, 1869",
12991,,Animalia,Mollusca,Gastropoda,,Architectonicidae,"""Architectonica""",,simiensis,"""Architectonica"" simiensis","Nelson, 1925",
12025,,Animalia,Mollusca,Gastropoda,,Cerithiidae,"""Cerithium""",,suciensis,"""Cerithium"" suciensis","Packard, 1922",
2999,,Animalia,Mollusca,Bivalvia,Pectinoida,Pectinidae,"""Chlamys""",,mediacostata,"""Chlamys"" mediacostata","(Hanna, 1926)",
3030,,Animalia,Mollusca,Bivalvia,Pectinoida,Pectinidae,"""Chlamys""",,sp.,"""Chlamys"" sp.",,
11228,,Animalia,Mollusca,Bivalvia,Venerida,Arcticidae,"""Cyprina""",,denmanensis,"""Cyprina"" denmanensis","Whiteaves, 1903",
2227,,Animalia,Mollusca,Gastropoda,Neogastropoda,Mitromorphidae,"""Daphnella""",,sp.,"""Daphnella"" sp.",,
13117,,Animalia,Mollusca,Gastropoda,,Fissurellidae,"""Fissurella""",,behri,"""Fissurella"" behri","Dickerson, 1914",
13116,,Animalia,Mollusca,Gastropoda,Neogastropoda,Fasciolariidae,"""Fusinus""",,waringi,"""Fusinus"" waringi","Dickerson, 1914",
11929,,Animalia,Mollusca,Gastropoda,Neogastropoda,Colubrariidae,"""Fusus""","""Levifusus""",calabasensis,"""Fusus"" ""Levifusus"" calabasensis","Nelson, 1925",
3477,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,"""Incisallida""",,effiae,"""Incisallida"" effiae","(Willett, 1948)",
3597,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,"""Incisallida""",,sp.,"""Incisallida"" sp.",,
5082,,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,"""Lucina""",,gaylordi,"""Lucina"" gaylordi","(Wagner & Schilling, 1923)",
5083,,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,"""Lucina""",,nasuta,"""Lucina"" nasuta","Gabb, 1864",
5015,,Animalia,Mollusca,Bivalvia,Lucinida,Lucinidae,"""Lucina""",,wattsi,"""Lucina"" wattsi","Loel & Corey, 1932",
2131,,Animalia,Mollusca,Gastropoda,Neogastropoda,Mangeliidae,"""Mangelia""",,branneri,"""Mangelia"" branneri","(Arnold, 1903)",
2222,,Animalia,Mollusca,Gastropoda,Neogastropoda,Mangeliidae,"""Mangelia""",,constricta,"""Mangelia"" constricta","(Gabb, 1865)",
4438,,Animalia,Mollusca,Gastropoda,Neogastropoda,Mangeliidae,"""Mangelia""",,crebricostata,"""Mangelia"" crebricostata","(Carpenter, 1865)",
4439,,Animalia,Mollusca,Gastropoda,Neogastropoda,Mangeliidae,"""Mangelia""",,elegans,"""Mangelia"" elegans","(Carpenter, 1865)",
981,,Animalia,Mollusca,Gastropoda,Neogastropoda,Mangeliidae,"""Mangelia""",,hooveri,"""Mangelia"" hooveri","(Arnold, 1903)",
2152,,Animalia,Mollusca,Gastropoda,Neogastropoda,Mangeliidae,"""Mangelia""",,paineae,"""Mangelia"" paineae","(Arnold, 1903)",
1001,,Animalia,Mollusca,Gastropoda,Neogastropoda,Mangeliidae,"""Mangelia""",,sp.,"""Mangelia"" sp.",,
11269,,Animalia,Mollusca,Bivalvia,Venerida,Tancrediidae,"""Meekia""",,navis,"""Meekia"" navis","Gabb, 1864",
11297,,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,"""Meretrix""",,marshana,"""Meretrix"" marshana","Anderson, 1958",
3482,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,"""Mormula""",,enna,"""Mormula"" enna","(Bartsch, 1927)",
3514,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,"""Mormula""",,heterolopha,"""Mormula"" heterolopha","(Dall & Bartsch, 1909)",
3562,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,"""Mormula""",,pentalopha,"""Mormula"" pentalopha","(Dall & Bartsch, 1903)",
3587,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,"""Mormula""",,scammonensis,"""Mormula"" scammonensis","(Bartsch, 1912)",
3598,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,"""Mormula""",,sp.,"""Mormula"" sp.",,
13118,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,"""Murex""",,englishi,"""Murex"" englishi","(Dickerson, 1914)",
13120,,Animalia,Mollusca,Gastropoda,Cycloneritimorpha,Neritidae,"""Nerita""",,biangulata,"""Nerita"" biangulata","Dickerson, 1914",
3491,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,"""Odostomia""",,farallonensis,"""Odostomia"" farallonensis","Dall & Bartsch, 1909",
3599,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,"""Odostomia""",,sp.,"""Odostomia"" sp.",,
3662,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,"""Odostomia""",,winlockiana,"""Odostomia"" winlockiana","Effinger, 1938",
13054,,Animalia,Mollusca,Gastropoda,Neogastropoda,Olividae,"""Olivella""",,claytonensis,"""Olivella"" claytonensis","Dickerson, 1914",
8036,,Animalia,Mollusca,Gastropoda,Neogastropoda,Olividae,"""Olivella""",,mathewsonii,"""Olivella"" mathewsonii","Gabb, 1864",
11725,204344,Animalia,Echinodermata,Crinoidea,,,Pentacrinus,,fairbanksi,Pentacrinus fairbanksi,"Anderson, 1958",
11147,,Animalia,Mollusca,Bivalvia,Pholadomyida,Laternulidae,"""Periplomya""",,oregonensis,"""Periplomya"" oregonensis","(Gabb, 1864)",
3151,,Animalia,Mollusca,Gastropoda,Cephalaspidea,Philinidae,"""Philine""",,hemphilli,"""Philine"" hemphilli","(Dall, 1919)",
3153,,Animalia,Mollusca,Gastropoda,Cephalaspidea,Philinidae,"""Philine""",,polystrigma,"""Philine"" polystrigma","(Dall, 1908)",
3154,,Animalia,Mollusca,Gastropoda,Cephalaspidea,Philinidae,"""Philine""",,sp.,"""Philine"" sp.",,
3158,,Animalia,Mollusca,Gastropoda,Cephalaspidea,Philinidae,"""Philine""",,williamsi,"""Philine"" williamsi","Berry, 1953",
4548,,Animalia,Mollusca,Bivalvia,Veneroida,Veneridae,"""Pitar""",,baylii,"""Pitar"" baylii","(Hupé, 1854)",
4563,,Animalia,Mollusca,Bivalvia,Veneroida,Veneridae,"""Pitar""",,colchaguana,"""Pitar"" colchaguana","(Hupé, 1854)",
4581,,Animalia,Mollusca,Bivalvia,Veneroida,Veneridae,"""Pitar""",,fluctuatus,"""Pitar"" fluctuatus","(Sowerby II, 1851)",
4659,,Animalia,Mollusca,Bivalvia,Veneroida,Veneridae,"""Pitar""",,sp.,"""Pitar"" sp.",,
4753,,Animalia,Mollusca,Bivalvia,Veneroida,Vesicomyidae,"""Pliocardia""",,sp.,"""Pliocardia"" sp.",,
4760,,Animalia,Mollusca,Bivalvia,Veneroida,Vesicomyidae,"""Pliocardia""",,stearnsii,"""Pliocardia"" stearnsii","(Dall, 1895)",
3420,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,"""Pyrgolampros""",,abreojosensis,"""Pyrgolampros"" abreojosensis","(Dall & Bartsch, 1909)",
3422,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,"""Pyrgolampros""",,adleri,"""Pyrgolampros"" adleri","(Dall & Bartsch, 1903)",
3428,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,"""Pyrgolampros""",,amava,"""Pyrgolampros"" amava","(Bartsch, 1918)",
3558,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,"""Pyrgolampros""",,oregonensis,"""Pyrgolampros"" oregonensis","(Dall & Bartsch, 1907)",
3600,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,"""Pyrgolampros""",,sp.,"""Pyrgolampros"" sp.",,
13022,,Animalia,Mollusca,Gastropoda,Neogastropoda,Fasciolariidae,"""Semifusus""",,dickersoni,"""Semifusus"" dickersoni","Nelson, 1925",
13082,,Animalia,Mollusca,Gastropoda,,Solariellidae,"""Solariella""",,minorstriata,"""Solariella"" minorstriata","Nelson, 1925",
13084,,Animalia,Mollusca,Gastropoda,,Solariellidae,"""Solariella""",,transennata,"""Solariella"" transennata","Nelson, 1925",
13111,,Animalia,Mollusca,Gastropoda,,,"""Speightia""",,sp.,"""Speightia"" sp.",,
11285,,Animalia,Mollusca,Bivalvia,Venerida,Tellinidae,"""Tellina""",,alisoensis,"""Tellina"" alisoensis","Packard, 1922",
4014,,Animalia,Mollusca,Bivalvia,Veneroida,Tellinidae,"""Tellina""",,chrysocoma,"""Tellina"" chrysocoma","(Dall, 1908)",
4128,,Animalia,Mollusca,Bivalvia,Veneroida,Tellinidae,"""Tellina""",,sp.,"""Tellina"" sp.",,
7964,,Animalia,Mollusca,Gastropoda,Littorinimorpha,Capulidae,"""Trichotropis""",,alienensis,"""Trichotropis"" alienensis","Effinger, 1938",
515,,Animalia,Mollusca,Gastropoda,Littorinimorpha,Capulidae,"""Trichotropis""",,tricarinata,"""Trichotropis"" tricarinata","Addicott, 1970",
13122,,Animalia,Mollusca,Gastropoda,Neogastropoda,,"""Tritonium""",,buwaldi,"""Tritonium"" buwaldi","Dickerson, 1914",
13123,,Animalia,Mollusca,Gastropoda,Neogastropoda,,"""Tritonium""",,martinezensis,"""Tritonium"" martinezensis","Dickerson, 1914",
13121,,Animalia,Mollusca,Gastropoda,Neogastropoda,Turridae,"""Turris""",,louderbacki,"""Turris"" louderbacki","Dickerson, 1914",
11298,,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,"""Venus""",,lenticularis,"""Venus"" lenticularis","Gabb, 1864",
11299,,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,"""Venus""",,tetrahedra,"""Venus"" tetrahedra","Gabb, 1864",
11300,,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,"""Venus""",,veatchii,"""Venus"" veatchii","Gabb, 1864",
3444,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,Aartsenia,,avellana,Aartsenia avellana,"(Carpenter, 1864)",
3455,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,Aartsenia,,canfieldi,Aartsenia canfieldi,"(Dall, 1908)",
3481,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,Aartsenia,,engbergi,Aartsenia engbergi,"(Bartsch, 1920)",
3498,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,Aartsenia,,gouldi,Aartsenia gouldi,"(Carpenter, 1864)",
3530,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,Aartsenia,,kennerlyi,Aartsenia kennerlyi,"(Dall & Bartsch, 1907)",
3533,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,Aartsenia,,lastra,Aartsenia lastra,"(Dall & Bartsch, 1909)",
3553,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,Aartsenia,,nota,Aartsenia nota,"(Dall & Bartsch, 1909)",
3554,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,Aartsenia,,nuciformis,Aartsenia nuciformis,"(Carpenter, 1864)",
3580,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,Aartsenia,,sanesia,Aartsenia sanesia,"(Oldroyd, 1924)",
3581,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,Aartsenia,,sanjuanensis,Aartsenia sanjuanensis,"(Bartsch, 1920)",
3586,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,Aartsenia,,satura,Aartsenia satura,"(Carpenter, 1864)",
3601,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,Aartsenia,,sp.,Aartsenia sp.,,
3630,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,Aartsenia,,stearnsii,Aartsenia stearnsii,"(Bartsch, 1920)",
3637,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,Aartsenia,,subglobosa,Aartsenia subglobosa,"(Bartsch, 1912)",
3646,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,Aartsenia,,timessa,Aartsenia timessa,"(Oldroyd, 1924)",
3658,,Animalia,Mollusca,Gastropoda,Heterostropha,Pyramidellidae,Aartsenia,,washingtonia,Aartsenia washingtonia,"(Bartsch, 1920)",
6849,,Animalia,Echinodermata,Crinoidea,Monobathrida,Abacocrinidae,Abacocrinidae,,indet.,Abacocrinidae indet.,,
3809,,Animalia,Mollusca,Bivalvia,Veneroida,Semelidae,Abra,,palmeri,Abra palmeri,"Dall, 1915",
3822,,Animalia,Mollusca,Bivalvia,Veneroida,Semelidae,Abra,,sp.,Abra sp.,,
3835,,Animalia,Mollusca,Bivalvia,Veneroida,Semelidae,Abra,,tepocana,Abra tepocana,"Dall, 1915",
2370,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthais,,sp.,Acanthais sp.,,
2427,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthais,,triangularis,Acanthais triangularis,"(Blainville, 1832)",
7344,,Ichnofossil,,,,,Acanthichnus,,isp.,Acanthichnus isp.,,
5022,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthina,,monodon,Acanthina monodon,"(Pallas, 1774)",
5027,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthina,,unicornis,Acanthina unicornis,"(Bruguière, 1789)",
2295,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthinucella,,emersoni,Acanthinucella emersoni,"(Hertlein & Allison, 1959)",
8267,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthinucella,,norna,Acanthinucella norna,"(Nomland, 1917)",
2349,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthinucella,,paucilirata,Acanthinucella paucilirata,"(Stearns, 1871)",
2359,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthinucella,,punctulata,Acanthinucella punctulata,"(Gray, 1835)",
2371,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthinucella,,sp.,Acanthinucella sp.,,
2417,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthinucella,,spirata,Acanthinucella spirata,"(Blainville, 1832)",
541,,Animalia,Mollusca,Bivalvia,Veneroida,Cardiidae,Acanthocardia,(Acanthocardia),kirkensis,Acanthocardia (Acanthocardia) kirkensis,"Clark, 1918",
561,,Animalia,Mollusca,Bivalvia,Veneroida,Cardiidae,Acanthocardia,(Acanthocardia),reedi,Acanthocardia (Acanthocardia) reedi,"(Loel & Corey, 1932))",
567,,Animalia,Mollusca,Bivalvia,Veneroida,Cardiidae,Acanthocardia,(Acanthocardia),sp.,Acanthocardia (Acanthocardia) sp.,,
566,,Animalia,Mollusca,Bivalvia,Veneroida,Cardiidae,Acanthocardia,(Agnocardia),sorrentoensis,Acanthocardia (Agnocardia) sorrentoensis,"(Hanna, 1927)",
568,,Animalia,Mollusca,Bivalvia,Veneroida,Cardiidae,Acanthocardia,(Agnocardia),sp.,Acanthocardia (Agnocardia) sp.,,
525,,Animalia,Mollusca,Bivalvia,Veneroida,Cardiidae,Acanthocardia,(Schedocardia),brewerii,Acanthocardia (Schedocardia) brewerii,"(Gabb, 1864)",
7734,,Animalia,Mollusca,Bivalvia,Veneroida,Cardiidae,Acanthocardia,(Schedocardia),etheringtoni,Acanthocardia (Schedocardia) etheringtoni,"Effinger, 1938",
7735,,Animalia,Mollusca,Bivalvia,Veneroida,Cardiidae,Acanthocardia,(Schedocardia),olequahensis,Acanthocardia (Schedocardia) olequahensis,"(Weaver, 1912)",
569,,Animalia,Mollusca,Bivalvia,Veneroida,Cardiidae,Acanthocardia,(Schedocardia),sp.,Acanthocardia (Schedocardia) sp.,,
12244,203160,Animalia,Mollusca,Cephalopoda,Ammonoidea,Acanthoceratidae,Acanthoceras,,sp.,Acanthoceras sp.,,
11337,204326,Animalia,Mollusca,Cephalopoda,Ammonoidea,Acanthoceratidae,Acanthoceras,,whitei,Acanthoceras whitei,"Matsumoto, 1959",
12552,202966,Animalia,Mollusca,Cephalopoda,Ammonoidea,Acanthoceratidae,Acanthoceratidae,,indet.,Acanthoceratidae indet.,,
6630,,Animalia,Bryozoa,Gymnolaemata,Cryptostomata,Acanthocladiidae,Acanthocladiidae,,indet.,Acanthocladiidae indet.,,
7727,,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Acanthodesia,,commensalis,Acanthodesia commensalis,"(Kirk & Metzelaar, 1922)",
7488,,Protista,,Actinopoda,Radiolaria,Acanthodesmiidae,Acanthodesmiidae,,indet.,Acanthodesmiidae indet.,,
11622,204327,Animalia,Mollusca,Cephalopoda,Ammonoidea,Parahoplitidae,Acanthohoplites,,aegis,Acanthohoplites aegis,"Anderson, 1938",
11623,203967,Animalia,Mollusca,Cephalopoda,Ammonoidea,Parahoplitidae,Acanthohoplites,,barryana,Acanthohoplites barryana,"Anderson, 1938",
11624,203968,Animalia,Mollusca,Cephalopoda,Ammonoidea,Parahoplitidae,Acanthohoplites,,gardneri,Acanthohoplites gardneri,"Anderson, 1938",
11625,203969,Animalia,Mollusca,Cephalopoda,Ammonoidea,Parahoplitidae,Acanthohoplites,,perrini,Acanthohoplites perrini,"Anderson, 1938",
11626,203970,Animalia,Mollusca,Cephalopoda,Ammonoidea,Parahoplitidae,Acanthohoplites,,remondi,Acanthohoplites remondi,"(Gabb, 1864)",
12341,203161,Animalia,Mollusca,Cephalopoda,Ammonoidea,Parahoplitidae,Acanthohoplites,,sp.,Acanthohoplites sp.,,
11627,203971,Animalia,Mollusca,Cephalopoda,Ammonoidea,Parahoplitidae,Acanthohoplites,,spathi,Acanthohoplites spathi,"Anderson, 1938",
11628,203972,Animalia,Mollusca,Cephalopoda,Ammonoidea,Parahoplitidae,Acanthohoplites,,subbigoti,Acanthohoplites subbigoti,"Anderson, 1938",
9722,,Animalia,Arthropoda,Trilobita,Odontopleurida,Odontopleuridae,Acanthomalina,,minuta,Acanthomalina minuta,"(Prantyl and Pribyl, 1947)",
777,,Animalia,Mollusca,Polyplacophora,Chitonida,Chitonidae,Acanthopleura,,echinata,Acanthopleura echinata,"(Barnes, 1823)",
782,,Animalia,Mollusca,Polyplacophora,Chitonida,Chitonidae,Acanthopleura,,sp.,Acanthopleura sp.,,
6214,,Animalia,Arthropoda,Malacostraca,Palaeocaridacea,Acanthotelsonidae,Acanthotelsonidae,,indet.,Acanthotelsonidae indet.,,
2269,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthotrophon,,carduus,Acanthotrophon carduus,"(Broderip, 1833)",
2372,,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Acanthotrophon,,sp.,Acanthotrophon sp.,,
81,,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Acar,,bailyi,Acar bailyi,"Bartsch, 1931",
100,,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Acar,,gradata,Acar gradata,"(Broderip & Sowerby I, 1829)",
128,,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Acar,,pusilla,Acar pusilla,"(Sowerby I, 1833)",
7736,,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Acar,,reinharti,Acar reinharti,"(Effinger, 1938)",
132,,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Acar,,rostae,Acar rostae,"(Berry, 1954)",
138,,Animalia,Mollusca,Bivalvia,Arcoida,Arcidae,Acar,,sp.,Acar sp.,,
6295,,Animalia,Arthropoda,Trilobita,Phacopida,Acastidae,Acastidae,,indet.,Acastidae indet.,,
12844,,Animalia,Arthropoda,Trilobita,Phacopida,Calmoniidae,Acastoides,,vernueulli,Acastoides vernueulli,(d'Orbigny),
9399,,Animalia,Arthropoda,Trilobita,Ptychopariida,Olenidae,Acerocare,,ecorne,Acerocare ecorne,"(Angelin, 1854)",
9094,,Animalia,Arthropoda,Trilobita,Ptychopariida,Olenidae,Acerocarina,,micropyge,Acerocarina micropyge,"(Linnarsson, 1875)",
6675,,Animalia,Coelenterata,Anthozoa,Rugosa,Acervulariidae,Acervulariidae,,indet.,Acervulariidae indet.,,
1820,,Animalia,Mollusca,Bivalvia,Limoida,Limidae,Acesta,(Acesta),agassizii,Acesta (Acesta) agassizii,"(Dall, 1902)",
4992,,Animalia,Mollusca,Bivalvia,Limoida,Limidae,Acesta,(Acesta),hamlini,Acesta (Acesta) hamlini,"(Dall, 1900)",
5089,,Animalia,Mollusca,Bivalvia,Limoida,Limidae,Acesta,(Acesta),multiradiata,Acesta (Acesta) multiradiata,"(Gabb, 1869)",
1831,,Animalia,Mollusca,Bivalvia,Limoida,Limidae,Acesta,(Acesta),patagonica,Acesta (Acesta) patagonica,"(Dall, 1902)",
1834,,Animalia,Mollusca,Bivalvia,Limoida,Limidae,Acesta,(Acesta),sp.,Acesta (Acesta) sp.,,
1824,,Animalia,Mollusca,Bivalvia,Limoida,Limidae,Acesta,(Plicacesta),diomedae,Acesta (Plicacesta) diomedae,"(Dall, 1908)",
5090,,Animalia,Mollusca,Bivalvia,Limoida,Limidae,Acesta,(Plicacesta),haseltinei,Acesta (Plicacesta) haseltinei,"(Dickerson, 1914)",
1835,,Animalia,Mollusca,Bivalvia,Limoida,Limidae,Acesta,(Plicacesta),sp.,Acesta (Plicacesta) sp.,,
1841,,Animalia,Mollusca,Bivalvia,Limoida,Limidae,Acesta,(Plicacesta),sphoni,Acesta (Plicacesta) sphoni,"(Hertlein, 1963)",
7658,,Animalia,Mollusca,Bivalvia,Solemyoida,Solemyidae,Acharax,,burica,Acharax burica,"Olsson, 1942)",
7737,,Animalia,Mollusca,Bivalvia,Solemyoida,Solemyidae,Acharax,,dalli,Acharax dalli,"(Clark, 1925)",
3898,,Animalia,Mollusca,Bivalvia,Solemyoida,Solemyidae,Acharax,,dunnensis,Acharax dunnensis,"(Palmer, 1923)",
3900,,Animalia,Mollusca,Bivalvia,Solemyoida,Solemyidae,Acharax,,johnsoni,Acharax johnsoni,"(Dall, 1891)",
3903,,Animalia,Mollusca,Bivalvia,Solemyoida,Solemyidae,Acharax,,sp.,Acharax sp.,,
7738,,Animalia,Mollusca,Bivalvia,Solemyoida,Solemyidae,Acharax,,ventricosa,Acharax ventricosa,"(Conrad, 1849)",
7739,,Animalia,Mollusca,Bivalvia,Solemyoida,Solemyidae,Acharax,,willapaensis,Acharax willapaensis,"(Weaver, 1943)",
9656,,Animalia,Arthropoda,Trilobita,Phacopida,Pterygometopidae,Achatella,,sp.,Achatella sp.,,
9270,,Animalia,Arthropoda,Trilobita,Ptychopariida,Ptychopariidae,Achlysopsis,,liokata,Achlysopsis liokata,"(Fritz, 1968)",
12749,,Animalia,Arthropoda,Trilobita,Odontopleurida,Odontopleuridae,Acidaspis,,brightii,Acidaspis brightii,"(Murchison, 1839)",
9686,,Animalia,Arthropoda,Trilobita,Odontopleurida,Odontopleuridae,Acidaspis,,cincinnatiensis,Acidaspis cincinnatiensis,"(Meek, 1873)",
13179,,Animalia,Arthropoda,Trilobita,Odontopleurida,Odontopleuridae,Acidaspis,,elliptica,Acidaspis elliptica,"(Burmeister, 1919)",
12751,,Animalia,Arthropoda,Trilobita,Odontopleurida,Odontopleuridae,Acidaspis,,prevosti,Acidaspis prevosti,"(Barrande, 1846)",
13353,,Animalia,Arthropoda,Trilobita,Odontopleurida,Odontopleuridae,Acidaspis,,tuberculata,Acidaspis tuberculata,"(Kozlowski, 1923)",
13347,,Animalia,Arthropoda,Trilobita,Ptychopariida,Bathyuridae,Acidiphorus,,williamsi,Acidiphorus williamsi,"(Ross, 1951)",
2811,,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Acila,(Acila),gettysburgensis,Acila (Acila) gettysburgensis,"(Reagan, 1909)",
2825,,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Acila,(Acila),semirostrata,Acila (Acila) semirostrata,"(Grant & Gale, 1931)",
2827,,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Acila,(Acila),sp.,Acila (Acila) sp.,,
11108,203769,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Acila,(Truncacila),allisoni,Acila (Truncacila) allisoni,"Squires & Saul, 2006",
12882,,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Acila,(Truncacila),blancoensis,Acila (Truncacila) blancoensis,"Howe, 1922",
4895,,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Acila,(Truncacila),castrensis,Acila (Truncacila) castrensis,"(Hinds, 1843)",
2802,,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Acila,(Truncacila),conradi,Acila (Truncacila) conradi,"(Meek, 1864)",
2805,,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Acila,(Truncacila),dalli,Acila (Truncacila) dalli,"(Dall, 1909)",
2806,,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Acila,(Truncacila),decisa,Acila (Truncacila) decisa,"(Conrad, 1855)",
11109,203770,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Acila,(Truncacila),demessa,Acila (Truncacila) demessa,"Finlay, 1927",
2808,,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Acila,(Truncacila),ermani,Acila (Truncacila) ermani,"(Girard, 1843)",
11110,203771,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Acila,(Truncacila),grahami,Acila (Truncacila) grahami,"Squires & Saul, 2006",
11111,203772,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Acila,(Truncacila),haidana,Acila (Truncacila) haidana,"Packard in Schenck, 1936",
2817,,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Acila,(Truncacila),muta,Acila (Truncacila) muta,"(Clark, 1918)",
7740,,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Acila,(Truncacila),nehalemensis,Acila (Truncacila) nehalemensis,"(Hanna, 1924)",
11112,203773,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Acila,(Truncacila),princeps,Acila (Truncacila) princeps,"Schenck, 1943",
11113,203774,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Acila,(Truncacila),rosaria,Acila (Truncacila) rosaria,"Squires & Saul, 2006",
2826,,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Acila,(Truncacila),shumardi,Acila (Truncacila) shumardi,"(Dall, 1909)",
2828,203641,Animalia,Mollusca,Bivalvia,Nuculida,Nuculidae,Acila,(Truncacila),sp.,Acila (Truncacila) sp.,,
