TaxTaxNo,EMUIRN,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SUBGENUS,SPECIES,TAXON,AITHOR,AITHOR1
1639,,Animalia,Mollusca,Gastropoda,,Haliotidae,Haliotis,(Padollus),roberti,Haliotis (Padollus) roberti,"McLean, 1970",
1642,,Animalia,Mollusca,Gastropoda,,Haliotidae,Haliotis,(Padollus),sp.,Haliotis (Padollus) sp.,,
1630,,Animalia,Mollusca,Gastropoda,,Haliotidae,Haliotis,(Sulculus),corrugata,Haliotis (Sulculus) corrugata,"Wood, 1828",
1631,,Animalia,Mollusca,Gastropoda,,Haliotidae,Haliotis,(Sulculus),cracherodii,Haliotis (Sulculus) cracherodii,"Leach, 1814",
1633,,Animalia,Mollusca,Gastropoda,,Haliotidae,Haliotis,(Sulculus),fulgens,Haliotis (Sulculus) fulgens,"Philippi, 1845",
1635,,Animalia,Mollusca,Gastropoda,,Haliotidae,Haliotis,(Sulculus),kamtschatkana,Haliotis (Sulculus) kamtschatkana,"Jonas, 1845",
1636,,Animalia,Mollusca,Gastropoda,,Haliotidae,Haliotis,(Sulculus),lasia,Haliotis (Sulculus) lasia,"Woodring, 1932",
1637,,Animalia,Mollusca,Gastropoda,,Haliotidae,Haliotis,(Sulculus),palaea,Haliotis (Sulculus) palaea,"Woodring, 1931",
1640,,Animalia,Mollusca,Gastropoda,,Haliotidae,Haliotis,(Sulculus),rufescens,Haliotis (Sulculus) rufescens,"Swainson, 1822",
1641,,Animalia,Mollusca,Gastropoda,,Haliotidae,Haliotis,(Sulculus),sorenseni,Haliotis (Sulculus) sorenseni,"Bartsch, 1940",
1643,,Animalia,Mollusca,Gastropoda,,Haliotidae,Haliotis,(Sulculus),sp.,Haliotis (Sulculus) sp.,,
10125,,Animalia,Mollusca,Gastropoda,,Haliotidae,Haliotis,(Sulculus),volhynica,Haliotis (Sulculus) volhynica,"Eichwald, 1829",
1644,,Animalia,Mollusca,Gastropoda,,Haliotidae,Haliotis,(Sulculus),walallensis,Haliotis (Sulculus) walallensis,"Stearns, 1899",
12087,,Animalia,Mollusca,Gastropoda,Vetigastropoda,Haliotidae,Haliotis,,lomaënsis,Haliotis lomaënsis,"Anderson, 1902",
4734,,Animalia,Mollusca,Bivalvia,Anomalodesmata,Verticordiidae,Haliris,,aequacostata,Haliris aequacostata,"(Howard, 1950)",
4742,,Animalia,Mollusca,Bivalvia,Anomalodesmata,Verticordiidae,Haliris,,sp.,Haliris sp.,,
3087,,Animalia,Mollusca,Bivalvia,Anomalodesmata,Periplomatidae,Halistrepta,,myrae,Halistrepta myrae,"(Rogers, 1962)",
3092,,Animalia,Mollusca,Bivalvia,Anomalodesmata,Periplomatidae,Halistrepta,,sp.,Halistrepta sp.,,
4903,,Animalia,Mollusca,Bivalvia,Anomalodesmata,Periplomatidae,Halistrepta,,sulcata,Halistrepta sulcata,"(Dall, 1904)",
4376,,Animalia,Mollusca,Gastropoda,,Trochidae,Halistylus,,genecoani,Halistylus genecoani,"McLean, 1984",
4391,,Animalia,Mollusca,Gastropoda,,Trochidae,Halistylus,,pupoideus,Halistylus pupoideus,"(Carpenter, 1864)",
4395,,Animalia,Mollusca,Gastropoda,,Trochidae,Halistylus,,sp.,Halistylus sp.,,
6685,,Animalia,Coelenterata,Anthozoa,Rugosa,Halliidae,Halliidae,,indet.,Halliidae indet.,,
7308,,Animalia,Porifera,Demospongiae,Lithistida,Hallirhoidae,Hallirhoidae,,indet.,Hallirhoidae indet.,,
6660,,Animalia,Bryozoa,Gymnolaemata,Trepostomata,Halloporidae,Halloporidae,,indet.,Halloporidae indet.,,
1646,,Animalia,Mollusca,Gastropoda,Littorinimorpha,Haloceratidae,Haloceras,,japonica,Haloceras japonica,"Okutani, 1964",
1647,,Animalia,Mollusca,Gastropoda,Littorinimorpha,Haloceratidae,Haloceras,,sp.,Haloceras sp.,,
1645,,Animalia,Mollusca,Gastropoda,Littorinimorpha,Haloceratidae,Haloceratidae,,indet.,Haloceratidae indet.,,
7394,,Ichnofossil,,,,,Halopoa,,isp.,Halopoa isp.,,
7081,,Animalia,Mollusca,Cephalopoda,Ammonoidea,Haloritidae,Haloritidae,,indet.,Haloritidae indet.,,
6725,,Animalia,Coelenterata,Anthozoa,Tabulata,Halysitidae,Halysitidae,,indet.,Halysitidae indet.,,
1653,,Animalia,Mollusca,Gastropoda,Cephalaspidea,Haminoeidae,Haminoea,,sp.,Haminoea sp.,,
1654,,Animalia,Mollusca,Gastropoda,Cephalaspidea,Haminoeidae,Haminoea,,vesicula,Haminoea vesicula,"(Gould, 1855)",
1655,,Animalia,Mollusca,Gastropoda,Cephalaspidea,Haminoeidae,Haminoea,,virescens,Haminoea virescens,"(Sowerby, 1833)",
1649,,Animalia,Mollusca,Gastropoda,Cephalaspidea,Haminoeidae,Haminoeidae,,indet.,Haminoeidae indet.,,
11524,204660,Animalia,Mollusca,Cephalopoda,Ammonoidea,Hamitidae,Hamites,,imitator,Hamites imitator,"Anderson, 1938",
12309,203361,Animalia,Mollusca,Cephalopoda,Ammonoidea,Hamitidae,Hamites,,sp.,Hamites sp.,,
7082,202980,Animalia,Mollusca,Cephalopoda,Ammonoidea,Hamitidae,Hamitidae,,indet.,Hamitidae indet.,,
12567,202980,Animalia,Mollusca,Cephalopoda,Ammonoidea,Hamitidae,Hamitidae,,indet.,Hamitidae indet.,,
7083,,Animalia,Mollusca,Cephalopoda,Ammonoidea,Hammatoceratidae,Hammatoceratidae,,indet.,Hammatoceratidae indet.,,
7314,,Animalia,Porifera,Demospongiae,Poecilosclerida,Hamptoniidae,Hamptoniidae,,indet.,Hamptoniidae indet.,,
11526,204661,Animalia,Mollusca,Cephalopoda,Ammonoidea,Hamulinidae,Hamulina,,aldersona,Hamulina aldersona,"Anderson, 1938",
12311,203362,Animalia,Mollusca,Cephalopoda,Ammonoidea,Hamulinidae,Hamulina,,sp.,Hamulina sp.,,
12568,202981,Animalia,Mollusca,Cephalopoda,Ammonoidea,Hamulinidae,Hamulinidae,,indet.,Hamulinidae indet.,,
12853,203363,Animalia,Annelida,Polychaeta,Sabellida,Serpulidae,Hamulus,,sp.,Hamulus sp.,,
11556,204662,Animalia,Mollusca,Cephalopoda,Ammonoidea,Necomitidae,Hannaites,,riddlensis,Hannaites riddlensis,"(Anderson, 1938)",
12327,203364,Animalia,Mollusca,Cephalopoda,Ammonoidea,Necomitidae,Hannaites,,sp.,Hannaites sp.,,
