index,SitSiteNumber,AdmOriginalData 1,AdmOriginalData 4,IPCollName_tab 1,IPCollName_tab 2,IPCollName_tab 3,IPCollName_tab 4,IPCollName_tab,IPCollName_tab (verbatim),IPStartDate0,IPEndDate0,Date (verbatim)
13786,LACMIP 4781,VERBATIM COLLECTOR NAME: F. Wood; VERBATIM COLLECTING DATE: . March 1; 1900,FORMATTED COLLECTOR NAME: F. Wood,F. Wood,,,,F. Wood,F. Wood,1900-03-01,1900-03-01,. March 1; 1900
10520,LACMIP 1288,VERBATIM COLLECTOR NAME: J. Gilbert; VERBATIM COLLECTING DATE: <1916,FORMATTED COLLECTOR NAME: John Z. Gilbert,J. Gilbert,,,,J. Gilbert,J. Gilbert,1800,1916,<1916
6,LACMIP 15,VERBATIM COLLECTING DATE: <1930,,unknown,,,,unknown,,1800,1930,<1930
8,LACMIP 18,VERBATIM COLLECTOR NAME: C. Jay; G. Grant; VERBATIM COLLECTING DATE: <1930,FORMATTED COLLECTOR NAME: Charles M. Jay; G. Grant,C. Jay,G. Grant,,,"C. Jay, G. Grant",C. Jay; G. Grant,1800,1930,<1930
9,LACMIP 19,VERBATIM COLLECTOR NAME: J. Poyas; VERBATIM COLLECTING DATE: <1930,FORMATTED COLLECTOR NAME: J. K. Poyas,J. Poyas,,,,J. Poyas,J. Poyas,1800,1930,<1930
26000,LACMIP 21117,VERBATIM COLLECTOR NAME: S. Stewart; F. Vandenberg; VERBATIM COLLECTING DATE: >1930,FORMATTED COLLECTOR NAME: S. Stewart; F. Vandenberg,S. Stewart,F. Vandenberg,,,"S. Stewart, F. Vandenberg",S. Stewart; F. Vandenberg,1930,2018,>1930
26003,LACMIP 21120,VERBATIM COLLECTOR NAME: S. Stewart; F. Vandenberg; VERBATIM COLLECTING DATE: >1930,FORMATTED COLLECTOR NAME: S. Stewart; F. Vandenberg,S. Stewart,F. Vandenberg,,,"S. Stewart, F. Vandenberg",S. Stewart; F. Vandenberg,1930,2018,>1930
29226,LACMIP 25824,VERBATIM COLLECTOR NAME: F. Wolfson; VERBATIM COLLECTING DATE: 01/22-27/1968,FORMATTED COLLECTOR NAME: F. Wolfson,F. Wolfson,,,,F. Wolfson,F. Wolfson,1968-01-22,1968-01-27,01/22-27/1968
310,LACMIP 6088,VERBATIM COLLECTOR NAME: M. Webster; others; VERBATIM COLLECTING DATE: 03/1963-04-1963,FORMATTED COLLECTOR NAME: Melvin Webster,M. Webster,,,,M. Webster,M. Webster; others,1963-03,1963-04,03/1963-04-1963
59,LACMIP 130,VERBATIM COLLECTOR NAME: F. Feltham; L. Bessom; J. Hoppinger; G. Kanakoff; VERBATIM COLLECTING DATE: 06/1947-07/1947,FORMATTED COLLECTOR NAME: F. Feltham; L. Bessom; J. Hoppinger; G. P. Kanakoff,F. Feltham,L. Bessom,J. Hoppinger,G. Kanakoff,"F. Feltham, L. Bessom, J. Hoppinger, G. Kanakoff",F. Feltham; L. Bessom; J. Hoppinger; G. Kanakoff,1947-06,1947-07,06/1947-07/1947
29620,LACMIP 26318,VERBATIM COLLECTOR NAME: Susuki family; C. Stadum; VERBATIM COLLECTING DATE: 07/17/1975-11/22/1975,FORMATTED COLLECTOR NAME: A. Susuki; Carol J. Stadum,A. Susuki,C. Stadum,,,"A. Susuki, C. Stadum",Susuki family; C. Stadum,1975-07-17,1975-11-22,07/17/1975-11/22/1975
13811,LACMIP 4830,VERBATIM COLLECTOR NAME: E. Wilson; VERBATIM COLLECTING DATE: 09/1974; 03/25/1975,FORMATTED COLLECTOR NAME: Edward C. Wilson,E. Wilson,,,,E. Wilson,E. Wilson,1974-09,1975-03-25,09/1974; 03/25/1975
3104,LACMIP 10691,VERBATIM COLLECTOR NAME: J. Dorrance; VERBATIM COLLECTING DATE: Oct. 1 929,FORMATTED COLLECTOR NAME: J. Dorrance,J. Dorrance,,,,J. Dorrance,J. Dorrance,1929-10-06,1929-10-06,Oct. 1 929
29224,LACMIP 25822,VERBATIM COLLECTOR NAME: D. Weide; VERBATIM COLLECTING DATE: 1/22-27/1968,FORMATTED COLLECTOR NAME: David L. Weide,D. Weide,,,,D. Weide,D. Weide,1968-01-22,1968-01-27,1/22-27/1968
29225,LACMIP 25823,VERBATIM COLLECTOR NAME: D. Weide; VERBATIM COLLECTING DATE: 1/22-27/1968,FORMATTED COLLECTOR NAME: David L. Weide,D. Weide,,,,D. Weide,D. Weide,1968-01-22,1968-01-27,1/22-27/1968
3985,LACMIP 17919,VERBATIM COLLECTOR NAME: R. Squires; VERBATIM COLLECTING DATE: 11/07/2010; 10/21/2011,FORMATTED COLLECTOR NAME: Richard Squires,R. Squires,,,,R. Squires,R. Squires,2010-11-07,2011-10-21,11/07/2010; 10/21/2011
570,LACMIP 17396,VERBATIM COLLECTING DATE: 12/2003-05/2004,,unknown,,,,unknown,,2003-12,2004-05,12/2003-05/2004
571,LACMIP 17397,VERBATIM COLLECTING DATE: 12/2003-05/2004,,unknown,,,,unknown,,2003-12,2004-05,12/2003-05/2004
572,LACMIP 17398,VERBATIM COLLECTING DATE: 12/2003-05/2004,,unknown,,,,unknown,,2003-12,2004-05,12/2003-05/2004
2,LACMIP 3,VERBATIM COLLECTOR NAME: M. Williamson; VERBATIM COLLECTING DATE: 1889,FORMATTED COLLECTOR NAME: M. Williamson,M. Williamson,,,,M. Williamson,M. Williamson,1889,1889,1889
13413,LACMIP 4352,VERBATIM COLLECTOR NAME: K. Bjorlykke; VERBATIM COLLECTING DATE: 1892,FORMATTED COLLECTOR NAME: K. O. Bjorlykke,K. Bjorlykke,,,,K. Bjorlykke,K. Bjorlykke,1892,1892,1892
20460,LACMIP 12827,VERBATIM COLLECTOR NAME: C. Schuchert; VERBATIM COLLECTING DATE: 1893,FORMATTED COLLECTOR NAME: Charles Schuchert,C. Schuchert,,,,C. Schuchert,C. Schuchert,1893,1893,1893
10549,LACMIP 1326,VERBATIM COLLECTOR NAME: Patten; VERBATIM COLLECTING DATE: 1895,FORMATTED COLLECTOR NAME: W. Patten,W. Patten,,,,W. Patten,Patten,1895,1895,1895
19928,LACMIP 12226,VERBATIM COLLECTOR NAME: J. Smith; VERBATIM COLLECTING DATE: 1895,FORMATTED COLLECTOR NAME: J. Smith,J. Smith,,,,J. Smith,J. Smith,1895,1895,1895
19931,LACMIP 12229,VERBATIM COLLECTOR NAME: J. Smith; VERBATIM COLLECTING DATE: 1895,FORMATTED COLLECTOR NAME: J. Smith,J. Smith,,,,J. Smith,J. Smith,1895,1895,1895
17797,LACMIP 9605,VERBATIM COLLECTING DATE: 1896,,unknown,,,,unknown,,1896,1896,1896
7,LACMIP 17,VERBATIM COLLECTING DATE: 1897,,unknown,,,,unknown,,1897,1897,1897
30821,LACMIP 28502,VERBATIM COLLECTOR NAME: F. Burns; VERBATIM COLLECTING DATE: 1897,FORMATTED COLLECTOR NAME: F. Burns,F. Burns,,,,F. Burns,F. Burns,1897,1897,1897
30822,LACMIP 28503,VERBATIM COLLECTOR NAME: F. Burns; VERBATIM COLLECTING DATE: 1897,FORMATTED COLLECTOR NAME: F. Burns,F. Burns,,,,F. Burns,F. Burns,1897,1897,1897
191,LACMIP 4655,VERBATIM COLLECTING DATE: 1897/03/27,,unknown,,,,unknown,,1897-03-27,1897-03-27,1897/03/27
16965,LACMIP 8755,VERBATIM COLLECTOR NAME: N. Ussing; VERBATIM COLLECTING DATE: 1897/9/11,FORMATTED COLLECTOR NAME: N. V. Ussing,N. Ussing,,,,N. Ussing,N. Ussing,1897-09-11,1897-09-11,1897/9/11
2642,LACMIP 5568,VERBATIM COLLECTOR NAME: J. Coughlin; VERBATIM COLLECTING DATE: 1903,FORMATTED COLLECTOR NAME: James Coughlin,J. Coughlin,,,,J. Coughlin,J. Coughlin,1903,1903,1903
29503,LACMIP 26160,"VERBATIM COLLECTOR NAME: C. Nelson; VERBATIM COLLECTING DATE: May 22, 1905",FORMATTED COLLECTOR NAME: C. A. Nelson,C. Nelson,,,,C. Nelson,C. Nelson,1905-05-22,1905-05-22,"May 22, 1905"
24094,LACMIP 16929,VERBATIM COLLECTOR NAME: R. Housley; W. Rader; VERBATIM COLLECTING DATE: 1906,FORMATTED COLLECTOR NAME: R. Housley; W. Rader,R. Housley,W. Rader,,,"R. Housley, W. Rader",R. Housley; W. Rader,1906,1906,1906
14088,LACMIP 5235,VERBATIM COLLECTOR NAME: R. King; VERBATIM COLLECTING DATE: 1909,FORMATTED COLLECTOR NAME: R. King,R. King,,,,R. King,R. King,1909,1909,1909
13391,LACMIP 4330,VERBATIM COLLECTOR NAME: N. Getz; VERBATIM COLLECTING DATE: 1911,FORMATTED COLLECTOR NAME: N. L. Getz,N. Getz,,,,N. Getz,N. Getz,1911,1911,1911
2356,LACMIP 922,VERBATIM COLLECTOR NAME: A. Tiege; VERBATIM COLLECTING DATE: 1918,FORMATTED COLLECTOR NAME: A. J. Tiege,A. Tiege,,,,A. Tiege,A. Tiege,1918,1918,1918
204,LACMIP 4791,VERBATIM COLLECTOR NAME: Many different; VERBATIM COLLECTING DATE: 1921,,unknown,,,,unknown,Many different,1921,1921,1921
33228,LACMIP 31456,VERBATIM COLLECTING DATE: 1922,,unknown,,,,unknown,,1922,1922,1922
26547,LACMIP 21922,VERBATIM COLLECTOR NAME: Cooper & Sturdevant; VERBATIM COLLECTING DATE: 1923,FORMATTED COLLECTOR NAME: F. Cooper; Sturdevant,F. Cooper,Sturdevant,,,"F. Cooper, Sturdevant",Cooper; Sturdevant,1923,1923,1923
26548,LACMIP 21923,VERBATIM COLLECTOR NAME: Cooper & Sturdevant; VERBATIM COLLECTING DATE: 1923,FORMATTED COLLECTOR NAME: F. Cooper; Sturdevant,F. Cooper,Sturdevant,,,"F. Cooper, Sturdevant",Cooper; Sturdevant,1923,1923,1923
26549,LACMIP 21924,VERBATIM COLLECTOR NAME: Cooper & Sturdevant; VERBATIM COLLECTING DATE: 1923,FORMATTED COLLECTOR NAME: F. Cooper; Sturdevant,F. Cooper,Sturdevant,,,"F. Cooper, Sturdevant",Cooper; Sturdevant,1923,1923,1923
26550,LACMIP 21925,VERBATIM COLLECTOR NAME: Cooper & Sturdevant; VERBATIM COLLECTING DATE: 1923,FORMATTED COLLECTOR NAME: F. Cooper; Sturdevant,F. Cooper,Sturdevant,,,"F. Cooper, Sturdevant",Cooper; Sturdevant,1923,1923,1923
26551,LACMIP 21926,VERBATIM COLLECTOR NAME: Cooper & Sturdevant; VERBATIM COLLECTING DATE: 1923,FORMATTED COLLECTOR NAME: F. Cooper; Sturdevant,F. Cooper,Sturdevant,,,"F. Cooper, Sturdevant",Cooper; Sturdevant,1923,1923,1923
26552,LACMIP 21927,VERBATIM COLLECTOR NAME: Cooper & Sturdevant; VERBATIM COLLECTING DATE: 1923,FORMATTED COLLECTOR NAME: F. Cooper; Sturdevant,F. Cooper,Sturdevant,,,"F. Cooper, Sturdevant",Cooper; Sturdevant,1923,1923,1923
26553,LACMIP 21928,VERBATIM COLLECTOR NAME: Cooper & Sturdevant; VERBATIM COLLECTING DATE: 1923,FORMATTED COLLECTOR NAME: F. Cooper; Sturdevant,F. Cooper,Sturdevant,,,"F. Cooper, Sturdevant",Cooper; Sturdevant,1923,1923,1923
13467,LACMIP 4412,VERBATIM COLLECTOR NAME: Muller; VERBATIM COLLECTING DATE: 1925,FORMATTED COLLECTOR NAME: Muller,Muller,,,,Muller,Muller,1925,1925,1925
13477,LACMIP 4422,VERBATIM COLLECTING DATE: 1925,,unknown,,,,unknown,,1925,1925,1925
16081,LACMIP 7794,VERBATIM COLLECTOR NAME: B. Moore; VERBATIM COLLECTING DATE: 1925,FORMATTED COLLECTOR NAME: Bernard N. Moore,B. Moore,,,,B. Moore,B. Moore,1925,1925,1925
26904,LACMIP 22575,VERBATIM COLLECTOR NAME: M. Murphy; VERBATIM COLLECTING DATE: 1925,FORMATTED COLLECTOR NAME: M. Murphy,M. Murphy,,,,M. Murphy,M. Murphy,1925,1925,1925
32493,LACMIP 30249,VERBATIM COLLECTOR NAME: C. Cassel; VERBATIM COLLECTING DATE: 1925,FORMATTED COLLECTOR NAME: C. Cassel,C. Cassel,,,,C. Cassel,C. Cassel,1925,1925,1925
32494,LACMIP 30250,VERBATIM COLLECTOR NAME: C. Cassel; VERBATIM COLLECTING DATE: 1925,FORMATTED COLLECTOR NAME: C. Cassel,C. Cassel,,,,C. Cassel,C. Cassel,1925,1925,1925
32504,LACMIP 30261,VERBATIM COLLECTOR NAME: C. Cassel; VERBATIM COLLECTING DATE: 1925,FORMATTED COLLECTOR NAME: C. Cassel,C. Cassel,,,,C. Cassel,C. Cassel,1925,1925,1925
2952,LACMIP 8184,VERBATIM COLLECTOR NAME: B. Moore; VERBATIM COLLECTING DATE: 1926,FORMATTED COLLECTOR NAME: Bernard N. Moore,B. Moore,,,,B. Moore,B. Moore,1926,1926,1926
16440,LACMIP 8194,VERBATIM COLLECTOR NAME: B. Moore; VERBATIM COLLECTING DATE: 1926,FORMATTED COLLECTOR NAME: Bernard N. Moore,B. Moore,,,,B. Moore,B. Moore,1926,1926,1926
18823,LACMIP 10886,VERBATIM COLLECTOR NAME: B. Moore; VERBATIM COLLECTING DATE: 1926,FORMATTED COLLECTOR NAME: Bernard N. Moore,B. Moore,,,,B. Moore,B. Moore,1926,1926,1926
12,LACMIP 27,VERBATIM COLLECTOR NAME: C. Jay; VERBATIM COLLECTING DATE: 1926-1933,FORMATTED COLLECTOR NAME: Charles M. Jay,C. Jay,,,,C. Jay,C. Jay,1926,1933,1926-1933
385,LACMIP 7046,VERBATIM COLLECTOR NAME: W. Woodring; H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: W. P. Woodring; H. Hoots,W. Woodring,H. Hoots,,,"W. Woodring, H. Hoots",W. Woodring; H. Hoots,1927,1927,1927
2962,LACMIP 8208,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
2963,LACMIP 8209,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
2976,LACMIP 8310,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
2977,LACMIP 8311,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
2978,LACMIP 8312,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
2979,LACMIP 8313,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
2980,LACMIP 8314,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
2981,LACMIP 8316,VERBATIM COLLECTOR NAME: W. Woodring; H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: W. P. Woodring; H. Hoots,W. Woodring,H. Hoots,,,"W. Woodring, H. Hoots",W. Woodring; H. Hoots,1927,1927,1927
2982,LACMIP 8317,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
15471,LACMIP 7053,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
15472,LACMIP 7054,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
15473,LACMIP 7055,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
15474,LACMIP 7056,VERBATIM COLLECTOR NAME: W. Woodring; H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: W. P. Woodring; H. Hoots,W. Woodring,H. Hoots,,,"W. Woodring, H. Hoots",W. Woodring; H. Hoots,1927,1927,1927
15475,LACMIP 7057,VERBATIM COLLECTOR NAME: W. Woodring; H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: W. P. Woodring; H. Hoots,W. Woodring,H. Hoots,,,"W. Woodring, H. Hoots",W. Woodring; H. Hoots,1927,1927,1927
15476,LACMIP 7058,VERBATIM COLLECTOR NAME: W. Woodring; H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: W. P. Woodring; H. Hoots,W. Woodring,H. Hoots,,,"W. Woodring, H. Hoots",W. Woodring; H. Hoots,1927,1927,1927
15477,LACMIP 7059,VERBATIM COLLECTOR NAME: W. Woodring; H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: W. P. Woodring; H. Hoots,W. Woodring,H. Hoots,,,"W. Woodring, H. Hoots",W. Woodring; H. Hoots,1927,1927,1927
16005,LACMIP 7696,VERBATIM COLLECTOR NAME: W. Woodring; H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: W. P. Woodring; H. Hoots,W. Woodring,H. Hoots,,,"W. Woodring, H. Hoots",W. Woodring; H. Hoots,1927,1927,1927
16084,LACMIP 7798,VERBATIM COLLECTOR NAME: W. Woodring; H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: W. P. Woodring; H. Hoots,W. Woodring,H. Hoots,,,"W. Woodring, H. Hoots",W. Woodring; H. Hoots,1927,1927,1927
16085,LACMIP 7799,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
16086,LACMIP 7800,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
16089,LACMIP 7803,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
16090,LACMIP 7804,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
16091,LACMIP 7805,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
16092,LACMIP 7806,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
16094,LACMIP 7808,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
16095,LACMIP 7809,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
16097,LACMIP 7811,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
16098,LACMIP 7812,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
16099,LACMIP 7813,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
16100,LACMIP 7814,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
16101,LACMIP 7815,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
16102,LACMIP 7816,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
16103,LACMIP 7817,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
16104,LACMIP 7818,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
16105,LACMIP 7819,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
16106,LACMIP 7820,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
16108,LACMIP 7822,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
16110,LACMIP 7824,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
16111,LACMIP 7825,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
16112,LACMIP 7826,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
16113,LACMIP 7827,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
16115,LACMIP 7829,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
16117,LACMIP 7831,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
16118,LACMIP 7832,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
16444,LACMIP 8207,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
16528,LACMIP 8315,VERBATIM COLLECTOR NAME: H. Hoots; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: H. Hoots,H. Hoots,,,,H. Hoots,H. Hoots,1927,1927,1927
17987,LACMIP 9800,VERBATIM COLLECTOR NAME: L. Lupher; W. Woodring; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: L. Lupher; W. P. Woodring,L. Lupher,W. Woodring,,,"L. Lupher, W. Woodring",L. Lupher; W. Woodring,1927,1927,1927
17988,LACMIP 9801,VERBATIM COLLECTOR NAME: L. Lupher; W. Woodring; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: L. Lupher; W. P. Woodring,L. Lupher,W. Woodring,,,"L. Lupher, W. Woodring",L. Lupher; W. Woodring,1927,1927,1927
17992,LACMIP 9805,VERBATIM COLLECTOR NAME: W. Woodring; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: W. P. Woodring,W. Woodring,,,,W. Woodring,W. Woodring,1927,1927,1927
17993,LACMIP 9806,VERBATIM COLLECTOR NAME: W. Woodring; J. Buwalda; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: W. P. Woodring; J. Buwalda,W. Woodring,J. Buwalda,,,"W. Woodring, J. Buwalda",W. Woodring; J. Buwalda,1927,1927,1927
17994,LACMIP 9807,VERBATIM COLLECTOR NAME: W. Woodring; J. Buwalda; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: W. P. Woodring; J. Buwalda,W. Woodring,J. Buwalda,,,"W. Woodring, J. Buwalda",W. Woodring; J. Buwalda,1927,1927,1927
17995,LACMIP 9808,VERBATIM COLLECTOR NAME: W. Woodring; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: W. P. Woodring,W. Woodring,,,,W. Woodring,W. Woodring,1927,1927,1927
17998,LACMIP 9811,VERBATIM COLLECTOR NAME: L. Lupher; W. Woodring; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: L. Lupher; W. P. Woodring,L. Lupher,W. Woodring,,,"L. Lupher, W. Woodring",L. Lupher; W. Woodring,1927,1927,1927
17999,LACMIP 9812,VERBATIM COLLECTOR NAME: L. Lupher; W. Woodring; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: L. Lupher; W. P. Woodring,L. Lupher,W. Woodring,,,"L. Lupher, W. Woodring",L. Lupher; W. Woodring,1927,1927,1927
18000,LACMIP 9813,VERBATIM COLLECTOR NAME: L. Lupher; W. Woodring; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: L. Lupher; W. P. Woodring,L. Lupher,W. Woodring,,,"L. Lupher, W. Woodring",L. Lupher; W. Woodring,1927,1927,1927
18001,LACMIP 9814,VERBATIM COLLECTOR NAME: L. Lupher; W. Woodring; VERBATIM COLLECTING DATE: 1927,FORMATTED COLLECTOR NAME: L. Lupher; W. P. Woodring,L. Lupher,W. Woodring,,,"L. Lupher, W. Woodring",L. Lupher; W. Woodring,1927,1927,1927
